tconst	averageRating	numVotes
tt0000014	7.2	3663
tt0000028	5.2	685
tt0000038	4.3	125
tt0000239	5.6	143
tt0000533	7.4	16
tt0000831	5.2	55
tt0001423	4.7	6
tt0001564	4.6	7
tt0004413	6.5	157
tt0007120	8.0	12
tt0007617	5.6	63
tt0007673	5.4	8
tt0009573	5.8	20
tt0010552	6.5	48
tt0010632	5.6	161
tt0012565	7.1	16
tt0012739	5.3	10
tt0013076	6.2	9
tt0013091	6.7	7
tt0014303	4.2	12
tt0014560	6.1	47
tt0014650	7.6	5
tt0015068	7.0	24
tt0015433	5.9	7
tt0015929	5.7	15
tt0016590	5.4	12
tt0016910	6.4	21
tt0016950	5.8	6
tt0017047	7.4	9
tt0017479	7.7	6
tt0017692	6.4	12
tt0017855	6.2	66
tt0018214	6.8	8
tt0018247	6.8	95
tt0018429	5.8	37
tt0018595	6.2	6
tt0019022	5.9	8
tt0019335	2.8	88
tt0019881	6.0	137
tt0019939	6.3	56
tt0020122	7.9	970
tt0020193	7.4	194
tt0020197	7.0	159
tt0020400	7.0	9
tt0020682	5.8	6
tt0020691	7.2	2875
tt0020805	5.8	61
tt0021082	7.0	21
tt0021417	8.8	6
tt0021463	6.9	46
tt0021514	8.0	6
tt0021533	8.0	636
tt0021617	5.4	17
tt0021676	6.2	252
tt0021685	5.7	114
tt0021707	6.6	119
tt0021840	6.2	76
tt0021956	6.5	24
tt0022017	7.6	1012
tt0022048	6.5	286
tt0022092	8.3	26
tt0022093	5.6	46
tt0022103	6.5	455
tt0022147	6.7	525
tt0022201	6.6	36
tt0022270	4.4	7
tt0022386	6.7	656
tt0022711	5.7	84
tt0022730	6.2	171
tt0022861	5.2	6
tt0022969	5.3	7
tt0022989	4.9	33
tt0023179	6.1	18
tt0023232	5.9	77
tt0023669	5.0	313
tt0023839	6.1	17
tt0024002	7.7	11
tt0024155	5.6	146
tt0024257	6.7	409
tt0024500	5.5	760
tt0024784	5.9	18
tt0024881	6.7	98
tt0024955	5.9	49
tt0025100	7.1	114
tt0025193	5.9	164
tt0025264	6.5	28
tt0025338	7.0	241
tt0025374	4.7	6
tt0025641	6.7	368
tt0025791	7.5	626
tt0025826	6.8	325
tt0025926	7.0	276
tt0025963	7.3	133
tt0026013	6.8	31
tt0026121	6.6	585
tt0026134	5.9	397
tt0026193	5.7	41
tt0026369	6.0	147
tt0026387	3.6	15
tt0026417	5.3	435
tt0026720	7.1	119
tt0026956	6.2	51
tt0026963	6.6	53
tt0027124	6.7	104
tt0027272	6.0	24
tt0027398	5.3	43
tt0027459	7.0	1507
tt0027675	8.0	17
tt0027744	5.3	24
tt0027750	7.1	71
tt0028250	6.0	62
tt0028334	6.3	99
tt0028458	8.0	5
tt0028557	5.8	110
tt0028632	7.5	201
tt0028708	7.6	1319
tt0028761	6.4	173
tt0028784	5.0	44
tt0028787	6.4	65
tt0028841	6.4	55
tt0028861	7.9	7
tt0029046	6.4	145
tt0029129	5.7	15
tt0029130	5.4	43
tt0029257	7.4	765
tt0029636	5.4	47
tt0029706	7.5	442
tt0029943	7.7	2034
tt0029960	6.2	9
tt0030029	6.1	65
tt0030180	6.1	57
tt0030266	6.1	11
tt0030371	6.6	665
tt0030519	4.6	38
tt0030689	5.0	88
tt0030896	6.7	19
tt0031030	5.8	8
tt0031146	5.8	9
tt0031173	6.8	1229
tt0031253	6.3	88
tt0031654	7.0	63
tt0031865	7.3	10
tt0031957	6.3	91
tt0032010	6.6	200
tt0032025	7.0	55
tt0032067	5.7	35
tt0032161	6.2	22
tt0032395	6.5	25
tt0032684	5.9	36
tt0032818	6.2	2658
tt0032946	7.0	1065
tt0033002	6.9	56
tt0033131	7.2	133
tt0033286	6.0	154
tt0033425	6.9	74
tt0033588	7.6	32
tt0033620	5.6	35
tt0033679	4.2	6
tt0034243	5.5	109
tt0034340	6.7	195
tt0034670	8.0	1523
tt0034748	4.6	71
tt0035125	6.3	25
tt0035130	7.2	162
tt0035935	6.4	5
tt0036075	6.3	203
tt0036118	5.8	82
tt0036444	7.4	570
tt0036488	6.7	55
tt0036827	7.2	16
tt0036839	7.5	11
tt0037186	6.8	26
tt0037372	5.6	5
tt0037430	6.5	8
tt0037492	7.0	1938
tt0037533	6.7	72
tt0037535	6.8	136
tt0037644	6.6	1470
tt0037709	7.4	696
tt0037720	5.3	43
tt0037823	7.0	402
tt0037885	7.2	1293
tt0038075	5.4	11
tt0038206	7.6	553
tt0038515	6.4	132
tt0038832	6.5	64
tt0039065	6.5	14
tt0039096	6.0	19
tt0039116	6.6	2512
tt0039147	6.1	7
tt0039323	7.2	156
tt0039451	5.6	90
tt0039541	3.4	28
tt0039566	7.3	3932
tt0039662	6.8	31
tt0039712	6.7	191
tt0039981	6.6	90
tt0040071	6.9	583
tt0040376	5.7	24
tt0040421	7.0	222
tt0040439	6.7	14
tt0040660	5.5	28
tt0040769	6.6	35
tt0041093	6.2	280
tt0041247	6.2	325
tt0041277	5.5	128
tt0041391	7.7	1060
tt0041443	6.9	210
tt0041478	6.6	15
tt0041678	6.4	5
tt0041725	8.0	284
tt0041776	7.4	1037
tt0041958	7.7	4351
tt0042044	7.5	1135
tt0042109	8.0	8
tt0042125	8.2	5
tt0042227	5.7	43
tt0042235	7.5	1147
tt0042279	6.7	656
tt0042348	5.7	12
tt0042426	6.0	167
tt0042686	5.9	131
tt0042852	7.1	141
tt0043068	6.7	12
tt0043201	6.1	24
tt0043304	6.4	5
tt0043327	5.6	480
tt0043502	7.2	74
tt0043601	6.0	148
tt0043842	7.1	7
tt0044192	7.2	172
tt0044245	7.2	13
tt0044715	6.0	91
tt0045082	6.6	325
tt0045099	5.7	14
tt0045130	5.6	2036
tt0045136	7.4	12
tt0045192	6.9	1125
tt0045202	6.1	88
tt0045344	7.2	5
tt0045410	7.4	713
tt0045505	7.0	134
tt0045533	5.8	211
tt0045567	6.0	10
tt0045613	6.9	13
tt0045634	5.9	13
tt0046006	7.2	385
tt0046103	6.4	19
tt0046122	4.8	162
tt0046221	5.2	75
tt0046251	6.7	13
tt0046256	7.7	386
tt0046366	6.3	2048
tt0046414	6.6	7042
tt0046523	6.4	15
tt0046540	3.8	24
tt0046787	5.4	28
tt0046872	5.5	45
tt0046964	7.1	33
tt0047375	7.7	430
tt0047411	7.0	749
tt0047464	6.3	981
tt0047495	7.0	1326
tt0047548	5.8	30
tt0047726	8.4	28
tt0047730	8.1	20
tt0047954	6.7	326
tt0048377	5.5	44
tt0048400	6.2	19
tt0048559	7.8	669
tt0048587	5.6	5
tt0048772	5.8	132
tt0048806	6.9	1238
tt0048839	8.1	49
tt0048875	7.2	10
tt0048904	7.6	36
tt0048954	6.2	765
tt0048971	6.3	1057
tt0049003	5.4	25
tt0049085	5.9	25
tt0049155	6.6	29
tt0049253	4.5	11
tt0049365	6.3	18
tt0049746	7.3	260
tt0049771	6.9	140
tt0049816	5.3	49
tt0050140	5.8	249
tt0050298	6.2	291
tt0050506	5.9	149
tt0050567	6.6	1291
tt0050608	6.8	9
tt0050775	6.4	25
tt0050811	5.2	12
tt0050845	5.0	44
tt0050907	5.5	56
tt0050958	5.6	248
tt0050980	7.5	43
tt0051198	6.8	3190
tt0051376	6.3	106
tt0051492	6.6	134
tt0051597	5.1	21
tt0052003	4.8	38
tt0052278	7.1	3598
tt0052433	4.4	15
tt0052575	7.3	224
tt0052880	5.9	589
tt0052928	6.5	40
tt0053340	5.2	130
tt0053448	6.6	118
tt0053545	7.7	58
tt0053608	7.5	24
tt0053672	5.2	280
tt0053708	7.5	157
tt0053976	8.1	22378
tt0054066	5.1	19
tt0054146	6.7	85
tt0054162	6.8	65
tt0054184	5.9	12
tt0054196	5.5	6
tt0054230	6.8	888
tt0054342	5.7	85
tt0054383	3.4	11
tt0054393	4.2	1821
tt0054455	6.5	271
tt0054642	5.5	1301
tt0055104	7.5	133
tt0055115	5.8	252
tt0055159	4.8	23
tt0055171	5.5	6
tt0055304	7.1	10552
tt0055500	5.7	92
tt0055570	5.4	15
tt0055577	5.8	111
tt0055579	6.5	93
tt0055689	7.5	1965
tt0055731	5.2	50
tt0055842	6.0	6
tt0055851	5.4	42
tt0055988	5.8	980
tt0056018	6.3	125
tt0056039	7.1	45
tt0056052	7.5	391
tt0056106	5.1	7
tt0056321	7.0	123
tt0056516	6.4	372
tt0056522	5.5	34
tt0056632	6.8	1590
tt0056909	5.7	26
tt0056955	7.2	187
tt0057069	6.6	612
tt0057191	6.1	2023
tt0057245	7.1	54
tt0057324	6.3	2073
tt0057405	6.1	161
tt0057478	6.4	69
tt0057527	6.4	146
tt0057532	7.0	382
tt0057977	7.4	505
