roleId	type
1	costume_department
2	producer
3	special_effects
4	art_department
5	animation_department
6	publicist
7	actress
8	archive_footage
9	manager
10	production_manager
11	legal
12	composer
13	location_management
14	camera_department
15	production_designer
16	casting_director
17	self
18	writer
19	nan
20	actor
21	set_decorator
22	sound_department
23	talent_agent
24	editor
25	executive
26	transportation_department
27	stunts
28	editorial_department
29	assistant
30	miscellaneous
31	director
32	cinematographer
33	make_up_department
34	assistant_director
35	art_director
36	costume_designer
37	visual_effects
38	soundtrack
39	music_department
40	casting_department
41	archive_sound
