titleId	ordering	title	region	language	types	attributes	isOriginalTitle
tt0000061	1	Dancing Girls	GB	\N	\N	\N	0
tt0000107	1	Revue navale à Cherbourg	FR	\N	\N	\N	0
tt0000107	2	Revue navale à Cherbourg	\N	\N	original	\N	1
tt0000107	3	Naval Review at Cherburg	US	\N	\N	\N	0
tt0000156	1	L'hôtel empoisonné	\N	\N	original	\N	1
tt0000156	2	L'hôtel empoisonné	FR	\N	\N	\N	0
tt0000156	3	A Badly Managed Hotel	XWW	en	imdbDisplay	\N	0
tt0000223	1	L'aveugle	FR	\N	\N	\N	0
tt0000281	1	Buffalo Bill's Wild West Show	US	\N	\N	\N	0
tt0000336	1	La source	FR	\N	\N	\N	0
tt0000372	1	Scène d'ivresse	FR	\N	\N	\N	0
tt0000422	1	Les aventures d'un voyageur trop pressé	FR	\N	\N	\N	0
tt0000461	1	Potage indigeste	FR	\N	\N	\N	0
tt0000678	1	Excursión a Montserrat	\N	\N	original	\N	1
tt0000678	2	Excursión a Montserrat	ES	\N	\N	\N	0
tt0000678	3	Montserrat pintoresco	ES	\N	alternative	\N	0
tt0000787	1	A Woman's Way	US	\N	\N	\N	0
tt0000790	1	Der Luftkrieg der Zukunft	DE	\N	imdbDisplay	\N	0
tt0000790	2	The Aerial Torpedo	GB	\N	\N	reissue title	0
tt0000790	3	The Airship Destroyer	GB	\N	\N	\N	0
tt0000790	4	The Battle in the Clouds	US	\N	imdbDisplay	\N	0
tt0000790	5	Истребитель дирижаблей	RU	\N	\N	\N	0
tt0000790	6	The Airship Destroyer	\N	\N	original	\N	1
tt0000831	1	Нить судьбы	RU	\N	\N	\N	0
tt0000831	2	The Cord of Life	\N	\N	original	\N	1
tt0000831	3	The Cord of Life	US	\N	\N	\N	0
tt0000834	1	A Coward's Courage	GB	\N	\N	\N	0
tt0000840	1	Карниз для штор	RU	\N	\N	\N	0
tt0000840	2	The Curtain Pole	US	\N	\N	\N	0
tt0000840	3	The Curtain Pole	\N	\N	original	\N	1
tt0000858	1	The Expiation	US	\N	\N	\N	0
tt0000876	1	Fuss and Feathers	US	\N	\N	\N	0
tt0000895	1	1776, or The Hessian Renegades	US	\N	alternative	\N	0
tt0000895	2	Гессенские изменники	RU	\N	\N	\N	0
tt0000895	3	The Hessian Renegades	US	\N	\N	\N	0
tt0000895	4	The Hessian Renegades	\N	\N	original	\N	1
tt0000903	1	The Honor of Thieves	US	\N	\N	\N	0
tt0000995	1	One Touch of Nature	US	\N	\N	\N	0
tt0001004	1	Le portrait de Mireille	\N	\N	original	\N	1
tt0001004	2	Portrait of Mireille	XWW	en	\N	\N	0
tt0001004	3	Le portrait de Mireille	FR	\N	\N	\N	0
tt0001004	4	Il ritratto di Mireille	IT	\N	\N	\N	0
tt0001092	1	What's Your Hurry?	US	\N	\N	\N	0
tt0001231	1	The Girl and the Fugitive	US	\N	\N	\N	0
tt0001373	1	Ranch Life in the Great Southwest	\N	\N	original	\N	1
tt0001373	2	Élet a délnyugati ranchon	HU	\N	imdbDisplay	\N	0
tt0001373	3	Ranch Life in the Great Southwest	US	\N	\N	\N	0
tt0001537	1	The Cattleman's Daughter	US	\N	\N	\N	0
tt0001616	1	The Fishermaid	US	\N	alternative	\N	0
tt0001616	2	The Fisher-Maid	US	\N	\N	\N	0
tt0001616	3	The Fisher-Maid	\N	\N	original	\N	1
tt0001618	1	Flo's Discipline	US	\N	\N	\N	0
tt0001724	1	Последняя капля воды	RU	\N	\N	\N	0
tt0001724	2	The Last Drop of Water	\N	\N	original	\N	1
tt0001724	3	The Last Drop of Water	US	\N	\N	\N	0
tt0001724	4	O Último Gole de Água	BR	\N	imdbDisplay	\N	0
tt0001724	5	Den sidste Draabe Vand	DK	\N	imdbDisplay	\N	0
tt0001815	1	On the Brink	US	\N	\N	\N	0
tt0001902	1	The Story of the Indian Ledge	\N	\N	original	\N	1
tt0001902	2	The Story of Indian Ledge	US	\N	alternative	\N	0
tt0001902	3	The Story of the Indian Ledge	US	\N	\N	\N	0
tt0002014	1	Alt for Norge	NO	\N	\N	\N	0
tt0002019	1	Amor de bestia	ES	\N	\N	\N	0
tt0002055	1	The Sissy Cowboy	US	\N	working	\N	0
tt0002055	2	The Beating He Needed	US	\N	\N	\N	0
tt0002055	3	The Beating He Needed	\N	\N	original	\N	1
tt0002069	1	The Boss of the Katy Mine	US	\N	\N	\N	0
tt0002122	1	The Cry of the Children	US	\N	\N	\N	0
tt0002122	2	The Cry of the Children	\N	\N	original	\N	1
tt0002122	3	Плач ребенка	RU	\N	\N	\N	0
tt0002156	1	Eclipse de sol	ES	\N	\N	\N	0
tt0002163	1	Eva	DK	\N	imdbDisplay	\N	0
tt0002163	2	When Honor Calls	XWW	en	imdbDisplay	\N	0
tt0002163	3	Eva	DE	\N	\N	\N	0
tt0002163	4	Eva	\N	\N	original	\N	1
tt0002176	1	The Female of the Species	\N	\N	original	\N	1
tt0002176	2	Женщина по рождению	RU	\N	\N	\N	0
tt0002176	3	The Female of the Species	US	\N	\N	\N	0
tt0002251	1	Hoffmeyer's Legacy	US	\N	\N	\N	0
tt0002274	1	The Indian Uprising at Santa Fe	US	\N	\N	\N	0
tt0002319	1	Lord Browning and Cinderella	US	\N	\N	\N	0
tt0002481	1	The Secret Service Man	US	\N	\N	\N	0
tt0002494	1	The Sketch with the Thumb Print	US	\N	\N	\N	0
tt0002604	1	The Adventure of an Heiress	US	\N	\N	\N	0
tt0002659	1	Farce Comedy	US	\N	\N	subtitle	0
tt0002659	2	Бэнгвильская полиция	RU	\N	\N	\N	0
tt0002659	3	Bangville Police	\N	\N	original	\N	1
tt0002659	4	Bangville Police	US	\N	\N	\N	0
tt0002727	1	Bøffen og bananen	DK	\N	\N	\N	0
tt0002846	1	The Farmer's Daughter	US	\N	\N	\N	0
tt0002899	1	The Girl Reporter	US	\N	\N	\N	0
tt0002952	1	A Heroic Rescue	US	\N	\N	\N	0
tt0003002	1	The Firefly	US	\N	imdbDisplay	\N	0
tt0003002	2	Tuliperhonen	FI	\N	imdbDisplay	\N	0
tt0003002	3	Ildfluen	DK	\N	\N	\N	0
tt0003002	4	Ildfluen	\N	\N	original	\N	1
tt0003002	5	Eldfjärilen	FI	sv	imdbDisplay	\N	0
tt0003046	1	The Lady and the Mouse	US	\N	\N	\N	0
tt0003127	1	Mary Stuart	US	\N	\N	\N	0
tt0003127	2	Mary Stuart	\N	\N	original	\N	1
tt0003127	3	Maria Stuart	DK	\N	imdbDisplay	\N	0
tt0003178	1	Policeman's Dilemma	US	\N	working	\N	0
tt0003178	2	Murphy's I.O.U.	US	\N	\N	\N	0
tt0003178	3	Murphy's I.O.U.	\N	\N	original	\N	1
tt0003181	1	Mutt and Jeff	US	\N	\N	\N	0
tt0003321	1	Red Sweeney's Mistake	US	\N	\N	\N	0
tt0003336	1	Robert's Lesson	US	\N	\N	\N	0
tt0003371	1	The Sheriff's Child	US	\N	\N	\N	0
tt0003406	1	Statistinnen des Lebens	DE	\N	\N	\N	0
tt0003441	1	Terrible vengeance	FR	\N	\N	\N	0
tt0003441	2	Страшная месть	RU	\N	\N	\N	0
tt0003441	3	Strashnaya mest	\N	\N	original	\N	1
tt0003441	4	A Terrible Revenge	XWW	en	\N	\N	0
tt0003441	5	The Terrible Vengeance	US	\N	\N	\N	0
tt0003549	1	The Widow's Kids	US	\N	\N	\N	0
tt0003568	1	The Woman and the Law	US	\N	\N	\N	0
tt0003568	2	La donna e la legge	IT	\N	\N	\N	0
tt0003568	3	The Woman and the Law	\N	\N	original	\N	1
tt0003582	1	Zuzu, the Band Leader	US	\N	\N	\N	0
tt0003582	2	Zuzu, the Band Leader	\N	\N	original	\N	1
tt0003582	3	The Bandmaster	US	\N	working	\N	0
tt0003603	1	An Affair for the Police	US	\N	\N	\N	0
tt0003673	1	The Belle of the School	US	\N	\N	\N	0
tt0003720	1	The Brute	US	\N	\N	\N	0
tt0003722	1	Buddy's Downfall	US	\N	\N	\N	0
tt0003746	1	El calvario de un héroe	ES	\N	\N	\N	0
tt0003780	1	The Colosseum in Films	US	\N	\N	alternative spelling	0
tt0003780	2	The Colosseum in Films	\N	\N	original	\N	1
tt0003807	1	El cuervo del campamento	ES	\N	\N	\N	0
tt0003899	1	The Fable Proving That Spongers Are Found in a Drugstore	US	\N	\N	\N	0
tt0004012	1	Getting Reuben Back	US	\N	\N	\N	0
tt0004125	1	The House Next Door	US	\N	\N	\N	0
tt0004212	1	Leading Lizzie Astray	\N	\N	original	\N	1
tt0004212	2	Угон дешевого автомобильчика	RU	\N	\N	\N	0
tt0004212	3	Leading Lizzie Astray	US	\N	\N	\N	0
tt0004222	1	The Life of Big Tim Sullivan; Or, from Newsboy to Senator	US	\N	\N	\N	0
tt0004459	1	The Pawn of Fortune	US	\N	\N	\N	0
tt0004459	2	The Pawn of Fortune	\N	\N	original	\N	1
tt0004459	3	The Mechanics Daughter	US	\N	working	\N	0
tt0004468	1	Phantom of the Violin	US	\N	\N	reissue title	0
tt0004468	2	The Phantom Violin	US	\N	\N	\N	0
tt0004468	3	The Phantom Violin	\N	\N	original	\N	1
tt0004485	1	The Powers of the Air	US	\N	\N	\N	0
tt0004500	1	Protect Us	US	\N	\N	\N	0
tt0004517	1	La ribellione di Kitty Belle	IT	\N	\N	\N	0
tt0004517	2	The Rebellion of Kitty Belle	\N	\N	original	\N	1
tt0004517	3	The Rebellion of Kitty Belle	US	\N	\N	\N	0
tt0004648	1	Manden i Kælderen	DK	\N	imdbDisplay	\N	0
tt0004648	2	Stuart Webbs: Der Mann im Keller	\N	\N	original	\N	1
tt0004648	3	Stuart Webbs-Serie. II	DE	\N	\N	series title	0
tt0004648	4	The Man in the Cellar	US	\N	imdbDisplay	\N	0
tt0004648	5	Stuart Webbs: Der Mann im Keller	DE	\N	\N	\N	0
tt0004718	1	Tortosa y el observatorio	ES	\N	\N	\N	0
tt0004725	1	Trapped in the Great Metropolis	US	\N	\N	\N	0
tt0004762	1	Vengeance Is Mine	US	\N	\N	\N	0
tt0004764	1	The Viking Queen	US	\N	\N	\N	0
tt0004768	1	The Virtuoso	US	\N	\N	\N	0
tt0004842	1	Your Girl and Mine	\N	\N	\N	\N	0
tt0004842	2	Your Girl and Mine: A Woman Suffrage Play	\N	\N	original	\N	1
tt0004842	3	Your Girl and Mine: A Woman Suffrage Play	US	\N	\N	\N	0
tt0004846	1	Zudora	\N	\N	original	\N	1
tt0004846	2	The Demon Shadow	US	\N	\N	reissue title	0
tt0004846	3	The Frozen Laugh	US	\N	working	\N	0
tt0004846	4	The Twenty-Million-Dollar Mystery	US	\N	alternative	\N	0
tt0004846	5	Zudora - The Twenty Million Dollar Mystery	\N	\N	\N	\N	0
tt0004846	6	Zudora	US	\N	\N	\N	0
tt0004846	7	The Mystery of the Frozen Laugh	US	\N	working	\N	0
tt0004846	8	El misterio de Zudora	ES	\N	\N	\N	0
tt0004981	1	The Blindness of Virtue	US	\N	\N	\N	0
tt0005002	1	The Brink	\N	\N	original	\N	1
tt0005002	2	Redeemed from Bondage	US	\N	working	\N	0
tt0005002	3	The Brink	US	\N	\N	\N	0
tt0005004	1	A Broken Cloud	US	\N	\N	\N	0
tt0005161	1	Crossed Love and Swords	US	\N	\N	\N	0
tt0005161	2	The Dog Fancier	US	\N	working	\N	0
tt0005161	3	Crossed Love and Swords	\N	\N	original	\N	1
tt0005225	1	Dreamy Dud in the Air	US	\N	\N	\N	0
tt0005225	2	Dreamy Dud in the Air	\N	\N	original	\N	1
tt0005225	3	Dreamy Dud Up in the Air	US	\N	alternative	\N	0
tt0005323	1	The Fighting Hope	US	\N	\N	\N	0
tt0005370	1	Gambier's Advocate	\N	\N	original	\N	1
tt0005370	2	Gambier's Advocate	US	\N	\N	\N	0
tt0005370	3	Clarissa	\N	\N	alternative	\N	0
tt0005534	1	An Idyll of the Hills	US	\N	\N	\N	0
tt0005540	1	In the Grasp of the Law	US	\N	\N	\N	0
tt0005540	2	In the Grasp of the Law	\N	\N	original	\N	1
tt0005540	3	In the Grip of the Law	US	\N	alternative	\N	0
tt0005557	1	The Italian	US	\N	\N	\N	0
tt0005557	2	The Italian	\N	\N	original	\N	1
tt0005557	3	The Dago	US	\N	working	\N	0
tt0005563	1	En rig Onkel er en god Ting	DK	\N	imdbDisplay	\N	0
tt0005563	2	Janet of the Chorus	\N	\N	original	\N	1
tt0005563	3	Janet of the Chorus	US	\N	\N	\N	0
tt0005572	1	John Glayde's Honour	GB	\N	\N	\N	0
tt0005572	2	John Glaydes Ære	DK	\N	imdbDisplay	\N	0
tt0005572	3	John Glayde's Honor	US	\N	\N	\N	0
tt0005572	4	John Glayde's Honor	\N	\N	original	\N	1
tt0005572	5	The Man's Honor	US	\N	\N	reissue title	0
tt0005694	1	The Man Who Beat Dan Dolan	US	\N	\N	\N	0
