tconst	ordering	nconst	category	job	characters
tt0000192	1	nm0518132	self	\N	"[""Herself""]"
tt0000297	1	nm0349785	director	\N	\N
tt0000378	1	nm0462306	actress	\N	\N
tt0000378	2	nm0815907	actress	\N	\N
tt0000378	3	nm0349785	director	\N	\N
tt0000414	1	nm0542567	actor	\N	"[""Uncle Josh""]"
tt0000470	1	nm0349785	director	\N	\N
tt0000932	10	nm0776198	actor	\N	\N
tt0000932	3	nm0488932	actor	\N	\N
tt0000932	5	nm5600037	writer	\N	\N
tt0001072	4	nm0849803	actor	\N	"[""The Rogers' Son""]"
tt0001679	1	nm0182537	actress	\N	"[""Buster aka Budge - One of the Children""]"
tt0001882	3	nm7625270	actor	\N	"[""Bob - the Girl's Father's Nephew""]"
tt0001960	6	nm0062934	writer	\N	\N
tt0001960	8	nm0568282	actress	\N	\N
tt0002675	3	nm0545651	writer	writer	\N
tt0002699	4	nm0277313	actor	\N	"[""Judge Scanlon""]"
tt0002699	8	nm0368705	actor	\N	"[""Officer O'Brien""]"
tt0002699	9	nm0450476	actor	\N	"[""Officer Johnson""]"
tt0002767	1	nm0642189	actor	\N	"[""Edmond Dantes"",""Count of Monte Cristo""]"
tt0002767	7	nm0270007	writer	play	\N
tt0002940	1	nm0000779	actor	\N	"[""Jim Brown""]"
tt0003117	1	nm0717468	actor	\N	"[""Bill, the Selfish One""]"
tt0003117	6	nm0209331	writer	\N	\N
tt0003245	6	nm0842357	writer	story	\N
tt0003245	7	nm0356439	actress	\N	"[""Secondary Role""]"
tt0003365	1	nm0292407	actor	\N	"[""Dr. Chevrele""]"
tt0003365	4	nm0779355	actor	\N	\N
tt0003365	5	nm0349785	director	\N	\N
tt0003365	6	nm0668116	actor	\N	\N
tt0003365	7	nm0048787	actress	\N	\N
tt0003520	1	nm0717468	actor	\N	"[""Jim Conway""]"
tt0003540	10	nm7116917	actor	\N	"[""Dora's Little Boy""]"
tt0003540	9	nm5242820	actress	\N	"[""Dora's Little Girl""]"
tt0003606	3	nm0381159	writer	play	\N
tt0003722	3	nm0185499	actor	\N	"[""Arthur Watson - Buddy's Elder Brother""]"
tt0003722	4	nm0494629	actor	\N	\N
tt0003747	10	nm0611913	actor	\N	"[""Tom Randall""]"
tt0003747	3	nm0624735	actor	\N	"[""John Randall""]"
tt0003747	4	nm0598767	actor	\N	"[""Colonel Moreau""]"
tt0003802	8	nm5461496	actress	\N	"[""Joan""]"
tt0003886	2	nm0204598	actress	\N	"[""Annie Lee""]"
tt0003886	6	nm0855139	writer	poem	\N
tt0003898	1	nm0717468	actor	\N	"[""The Reporter""]"
tt0004334	2	nm0168916	actress	\N	"[""Helen Grant""]"
tt0004488	1	nm0353956	actor	\N	"[""Richard""]"
tt0004488	2	nm0794096	actress	\N	"[""Lucie - Hahn's WIfe""]"
