tconst	averageRating	numVotes
tt0000047	4.1	12
tt0000192	4.6	115
tt0000337	5.1	284
tt0000414	5.4	579
tt0000658	6.5	127
tt0000878	4.9	98
tt0000932	3.2	5
tt0001072	5.6	185
tt0002144	5.4	10
tt0002767	5.6	32
tt0003540	5.6	22
tt0003998	5.6	22
tt0005114	5.3	56
tt0005180	7.0	15
tt0006373	8.9	7
tt0006444	5.0	5
tt0007061	4.5	6
tt0007108	7.0	745
tt0008874	6.8	921
tt0008876	8.6	8
tt0008975	6.7	1052
tt0009170	5.6	5
tt0009803	6.0	5
tt0011369	7.2	107
tt0012205	6.2	20
tt0012422	7.6	24
tt0012468	6.6	37
tt0013482	7.3	6
tt0013631	6.8	8
tt0014417	7.6	1503
tt0014608	5.8	10
tt0014892	6.8	11
tt0014903	7.2	89
tt0015866	6.8	5
tt0015956	6.7	202
tt0016004	7.5	855
tt0016156	7.0	27
tt0016930	5.4	22
tt0017196	6.9	607
tt0017354	6.5	110
tt0018212	6.1	140
tt0018253	7.8	415
tt0019556	7.1	738
tt0019574	7.1	645
tt0019685	5.9	10
tt0019856	7.1	119
tt0020044	7.7	69
tt0020409	8.1	24
tt0020476	4.6	27
tt0020658	6.3	204
tt0020942	4.3	32
tt0020997	5.2	57
tt0021165	6.4	4860
tt0021424	5.5	63
tt0021622	6.2	1296
tt0021696	6.6	31
tt0022075	5.7	59
tt0022114	5.9	44
tt0022139	6.4	103
tt0022157	7.2	6
tt0022291	4.7	6
tt0022418	5.3	189
tt0022765	6.0	73
tt0022974	7.0	7
tt0023092	5.5	91
tt0023218	6.1	35
tt0023220	7.0	11
tt0023222	6.9	31
tt0023427	7.8	22262
tt0023467	7.5	16
tt0023646	6.9	80
tt0023913	7.2	14
tt0023950	7.6	1343
tt0024032	8.1	150
tt0024041	6.2	62
tt0024076	5.3	54
tt0024196	7.3	51
tt0024224	4.8	55
tt0024252	7.7	1120
tt0024295	4.8	26
tt0024351	7.5	50
tt0025170	5.2	76
tt0025201	6.2	14
tt0025207	7.0	44
tt0025214	6.6	323
tt0025399	6.2	59
tt0025589	5.5	63
tt0025710	5.8	119
tt0025795	5.4	12
tt0025894	6.2	10
tt0026105	7.7	240
tt0026383	4.6	25
tt0026450	7.0	5
tt0026530	7.9	22
tt0027195	6.6	8
tt0027359	6.1	75
tt0027458	6.0	7
tt0027679	6.9	146
tt0027746	5.7	459
tt0027749	5.6	32
tt0027877	5.8	39
tt0028071	5.0	11
tt0028111	6.4	198
tt0028170	5.4	44
tt0028301	4.7	27
tt0028527	7.1	71
tt0028550	6.7	20
tt0028713	5.4	72
tt0029027	6.7	175
tt0029041	5.2	6
tt0029464	4.5	6
tt0029970	5.9	43
tt0030185	6.9	308
tt0030591	5.9	48
tt0030663	6.0	231
tt0030823	5.8	226
tt0030825	5.9	7
tt0030974	7.0	53
tt0031030	5.8	8
tt0031080	4.8	55
tt0031202	6.9	640
tt0031269	5.0	5
tt0031401	6.9	201
tt0031644	6.3	18
tt0031867	7.9	10982
tt0031980	5.0	5
tt0032076	5.6	45
tt0032289	7.1	251
tt0032455	7.8	79896
tt0032528	5.9	43
tt0032721	6.7	21
tt0032766	6.8	66
tt0033000	5.6	39
tt0033185	6.3	55
tt0033343	7.2	38
tt0033570	5.6	19
tt0033769	7.0	40
tt0033875	6.2	40
tt0033884	6.1	11
tt0033903	5.8	5
tt0034073	7.4	19
tt0034235	6.2	75
tt0034387	6.3	32
tt0034551	6.1	76
tt0034602	5.6	52
tt0034704	7.3	42
tt0034936	6.8	1789
tt0035156	6.0	8
tt0035309	6.5	281
tt0035372	7.2	208
tt0035463	6.4	101
tt0035608	7.0	3039
tt0035710	5.9	97
tt0036401	5.3	66
tt0036462	5.4	30
tt0036613	8.0	60173
tt0036698	5.8	120
tt0036764	6.0	51
tt0036880	6.3	785
tt0036891	7.8	3740
tt0037026	6.5	98
tt0037656	6.8	182
tt0037759	6.7	7
tt0037766	5.7	9
tt0038473	7.0	28
tt0038733	8.1	16274
tt0038844	5.6	33
tt0038990	6.7	1330
tt0039150	7.0	120
tt0039180	5.8	262
tt0039233	7.0	118
tt0039308	6.9	460
tt0039644	4.4	5
tt0039686	6.2	525
tt0039724	7.0	6
tt0039815	6.1	193
tt0040095	6.1	54
tt0040166	6.2	239
tt0040282	6.6	51
tt0040642	6.3	47
tt0040802	6.5	205
tt0041005	7.1	16
tt0041111	6.6	139
tt0041389	6.4	43
tt0041478	6.6	15
tt0041510	7.6	286
tt0041722	7.3	11
tt0041829	7.9	28
tt0042038	6.5	186
tt0042211	7.1	537
tt0042271	5.5	8
tt0042386	7.5	19
tt0042403	7.2	103
tt0042449	6.7	313
tt0042526	6.0	148
tt0042576	5.5	26
tt0043112	4.9	10
tt0043122	4.9	22
tt0043196	5.4	5
tt0043395	1.7	6
tt0043428	7.4	509
tt0043454	6.4	152
tt0043720	6.3	70
tt0043902	6.8	46
tt0043942	7.2	13
tt0043959	7.2	1921
tt0044224	6.4	502
tt0044247	6.5	12
tt0044457	6.5	14
tt0044638	6.1	9
tt0044689	6.6	59
tt0044940	6.8	179
tt0045256	5.4	49
tt0045316	6.8	442
tt0045372	7.4	21
